"SNUM","DOMSOI","ID","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Long","Lat","GroupCat","species","TEST_LOCALE"
4992,"Rc",89,203,169,46,7067,371,8,363,277,127,287,107,298,57,7,74,156,23,144,24,-103.6023668,29.40556,"collis","collis",NA
4992,"Rc",90,189,152,45,6518,343,12,331,256,118,266,99,347,57,8,65,163,30,154,34,-103.2446518,29.3631592,"collis","collis",NA
4992,"Rc",91,189,152,45,6518,343,12,331,256,118,266,99,347,57,8,65,163,30,154,34,-103.2446518,29.3631592,"collis","collis",NA
4992,"Rc",92,189,152,45,6518,343,12,331,256,118,266,99,347,57,8,65,163,30,154,34,-103.2442,29.36296,"collis","collis",NA
4992,"Rc",93,205,170,46,7096,374,9,365,279,129,289,108,293,57,7,72,153,23,143,24,-103.58317,29.349267,"collis","collis",NA
4992,"Rc",94,193,155,46,6613,348,12,336,261,121,271,102,332,54,8,64,154,29,148,32,-103.2068,29.3388,"collis","collis",NA
4992,"Rc",95,204,169,46,7081,373,10,363,278,128,289,108,292,58,7,74,156,23,144,23,-103.595837,29.3167,"collis","collis",NA
4992,"Rc",96,202,159,46,6784,360,15,345,272,129,282,109,299,48,8,63,136,27,133,29,-103.1220016,29.3040009,"collis","collis",NA
4992,"Rc",97,189,151,46,6460,342,14,328,256,118,266,100,346,57,8,64,161,30,153,34,-103.1695546,29.2976627,"collis","collis",NA
4992,"Rc",98,165,134,46,5646,303,12,291,222,102,232,88,456,84,9,70,237,37,212,42,-103.2180023,29.2740002,"collis","collis",NA
4992,"Rc",99,165,134,46,5646,303,12,291,222,102,232,88,456,84,9,70,237,37,212,42,-103.2180023,29.2740002,"collis","collis",NA
4992,"Rc",100,159,132,45,5544,296,9,287,215,96,225,83,476,90,9,73,253,38,225,44,-103.301,29.266,"collis","collis",NA
4992,"Rc",101,159,132,45,5544,296,9,287,215,96,225,83,476,90,9,73,253,38,225,44,-103.301,29.266,"collis","collis",NA
4992,"Rc",102,208,171,46,7142,379,12,367,282,131,293,111,274,55,6,78,150,20,134,21,-103.7927551,29.2613888,"collis","collis",NA
4992,"Rc",103,207,170,46,7107,377,13,364,281,130,292,111,278,55,6,75,152,20,135,21,-103.8593216,29.261364,"collis","collis",NA
4992,"Rc",104,182,148,46,6265,333,12,321,246,113,257,96,372,67,9,67,187,31,172,34,-103.3349991,29.2600002,"collis","collis",NA
4992,"Rc",105,203,159,46,6802,361,16,345,274,130,284,110,291,47,8,61,132,27,130,29,-103.1227003,29.2567729,"collis","collis",NA
4992,"Rc",106,165,134,46,5646,303,12,291,222,102,232,88,456,84,9,70,237,37,212,42,-103.216,29.255,"collis","collis",NA
4992,"Rc",107,165,134,46,5646,303,12,291,222,102,232,88,456,84,9,70,237,37,212,42,-103.25,29.25,"collis","collis",NA
4992,"Rc",108,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",109,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",110,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",111,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",112,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",113,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",114,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",115,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",116,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",117,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",118,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",119,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",120,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",121,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",122,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",123,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",124,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",125,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",126,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",127,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3339996,29.2450008,"collis","collis",NA
4992,"Rc",128,184,146,45,6250,333,15,318,248,116,259,99,364,62,8,64,174,32,163,37,-103.223999,29.2280006,"collis","collis",NA
4992,"Rc",129,174,140,45,5966,319,13,306,235,108,245,92,408,75,9,69,210,34,190,38,-103.3710022,29.2099991,"collis","collis",NA
4992,"Rc",130,203,158,46,6749,360,17,343,272,130,282,110,287,48,8,64,132,26,131,28,-103.153,29.204,"collis","collis",NA
4992,"Rc",131,203,158,46,6749,360,17,343,272,130,282,110,287,48,8,64,132,26,131,28,-103.155266,29.174647,"collis","collis",NA
4992,"Rc",132,203,158,46,6749,360,17,343,272,130,282,110,287,48,8,64,132,26,131,28,-103.155266,29.174647,"collis","collis",NA
4992,"Rc",133,203,158,46,6749,360,17,343,272,130,282,110,287,48,8,64,132,26,131,28,-103.155266,29.174647,"collis","collis",NA
